,date,price
1096,1491417840,145.165
1097,1491417900,145.21
1098,1491417960,145.18
1099,1491418020,145.17
1100,1491418080,145.21
1101,1491418140,145.13
1102,1491418200,145.0713
1103,1491418260,145.03
1104,1491418320,144.94
1105,1491418380,144.91
1106,1491418440,144.86
1107,1491418500,144.88
1108,1491418560,144.96
1109,1491418620,144.94
1110,1491418680,144.84
1111,1491418740,144.86
1112,1491418800,144.83
1113,1491418860,144.8033
1114,1491418920,144.84
1115,1491418980,144.81
1116,1491419040,144.916
1117,1491419100,144.9
1118,1491419160,144.89
1119,1491419220,144.9199
1120,1491419280,144.925
1121,1491419340,144.92
1122,1491419400,144.88
1123,1491419460,144.8653
1124,1491419520,144.76
1125,1491419580,144.76
1126,1491419640,144.71
1127,1491419700,144.64
1128,1491419760,144.63
1129,1491419820,144.7
1130,1491419880,144.7453
1131,1491419940,144.6342
1132,1491420000,144.719
1133,1491420060,144.66
1134,1491420120,144.5101
1135,1491420180,144.4599
1136,1491420240,144.26
1137,1491420300,144.3299
1138,1491420360,144.1699
1139,1491420420,144.1
1140,1491420480,144.19
1141,1491420540,144.29
1142,1491420600,144.37
1143,1491420660,144.22
1144,1491420720,144.17
1145,1491420780,144.08
1146,1491420840,143.884
1147,1491420900,144.02
1148,1491420960,144.17
1149,1491421020,144.23
1150,1491421080,144.33
1151,1491421140,144.31
1152,1491421200,144.25
1153,1491421260,144.17
1154,1491421320,144.22
1155,1491421380,144.26
1156,1491421440,144.21
1157,1491421500,144.23
1158,1491421560,144.27
1159,1491421620,144.06
1160,1491421680,144.0047
1161,1491421740,143.9816
1162,1491421800,143.895
1163,1491421860,144.01
1164,1491421920,144.0699
1165,1491421980,144.1299
1166,1491422040,144.22
1167,1491422100,144.23
1168,1491422160,144.08
1169,1491422220,144.03
1170,1491422280,144.05
1171,1491422340,144.03
1172,1491422400,144.02
1173,1491485400,144.22
1174,1491485460,144.35
1175,1491485520,144.2
1176,1491485580,144.14
1177,1491485640,144.14
1178,1491485700,144.24
1179,1491485760,144.39
1180,1491485820,144.3099
1181,1491485880,144.35
1182,1491485940,144.365
1183,1491486000,144.33
1184,1491486060,144.39
1185,1491486120,144.4307
1186,1491486180,144.35
1187,1491486240,144.28
1188,1491486300,144.1808
1189,1491486360,144.03
1190,1491486420,143.8811
1191,1491486480,143.93
1192,1491486540,144.09
1193,1491486600,144.0338
1194,1491486660,144.1
1195,1491486720,143.995
1196,1491486780,144.06
1197,1491486840,144.19
1198,1491486900,144.43
1199,1491486960,144.35
1200,1491487020,144.5
1201,1491487080,144.4601
1202,1491487140,144.29
1203,1491487200,144.33
1204,1491487260,144.23
1205,1491487320,144.2196
1206,1491487380,144.2
1207,1491487440,144.09
1208,1491487500,144.04
1209,1491487560,144.11
1210,1491487620,144.12
1211,1491487680,144.14
1212,1491487740,144.14
1213,1491487800,144.14
1214,1491487860,144.11
1215,1491487920,144.04
1216,1491487980,143.4889
1217,1491488040,143.6
1218,1491488100,143.76
1219,1491488160,143.65
1220,1491488220,143.766
1221,1491488280,143.78
1222,1491488340,143.6974
1223,1491488400,143.74
1224,1491488460,143.78
1225,1491488520,143.865
1226,1491488580,143.79
1227,1491488640,143.75
